customer_id,acquisition_date,acquisition_cost_usd,market_segment,supplier_id,order_id,order_date,order_value_usd,payment_date,satisfaction_score,support_tickets,lead_time_days
CUST-029,02/02/2024,840,Asia-Pacific,SUP-F,ORD-1029,28/03/2024,23000,08/05/2024,4,2,16
CUST-030,03/02/2024,910,Middle East,SUP-G,ORD-1030,30/03/2024,8500,10/05/2024,4,1,15
CUST-031,04/02/2024,880,North America,SUP-A,ORD-1031,02/04/2024,14500,12/05/2024,4,1,13
CUST-032,05/02/2024,920,Europe,SUP-E,ORD-1032,05/04/2024,10500,15/05/2024,5,0,14
CUST-033,06/02/2024,850,Asia-Pacific,SUP-B,ORD-1033,08/04/2024,21500,18/05/2024,3,2,16
CUST-034,07/02/2024,940,North America,SUP-D,ORD-1034,10/04/2024,18500,20/05/2024,5,0,12
CUST-035,08/02/2024,810,Europe,SUP-F,ORD-1035,12/04/2024,7500,22/05/2024,4,1,14
CUST-036,09/02/2024,900,Africa,SUP-C,ORD-1036,15/04/2024,9500,25/05/2024,4,0,17
CUST-037,10/02/2024,870,North America,SUP-G,ORD-1037,18/04/2024,17000,28/05/2024,5,0,13
CUST-038,11/02/2024,830,Asia-Pacific,SUP-A,ORD-1038,20/04/2024,12000,30/05/2024,4,1,15
CUST-039,12/02/2024,960,Europe,SUP-E,ORD-1039,22/04/2024,14000,01/06/2024,3,1,14
CUST-040,13/02/2024,820,Middle East,SUP-B,ORD-1040,25/04/2024,6000,04/06/2024,5,0,16
CUST-041,14/02/2024,910,North America,SUP-D,ORD-1041,28/04/2024,19500,07/06/2024,4,2,13
CUST-042,15/02/2024,890,Europe,SUP-F,ORD-1042,30/04/2024,11000,09/06/2024,5,0,12
CUST-043,16/02/2024,840,Asia-Pacific,SUP-C,ORD-1043,02/05/2024,22500,11/06/2024,4,1,15
CUST-044,17/02/2024,930,Africa,SUP-G,ORD-1044,05/05/2024,8000,14/06/2024,4,1,18
CUST-045,18/02/2024,800,North America,SUP-A,ORD-1045,08/05/2024,13000,17/06/2024,3,2,14
CUST-046,19/02/2024,950,Europe,SUP-E,ORD-1046,10/05/2024,15500,19/06/2024,5,0,13
CUST-047,20/02/2024,860,Asia-Pacific,SUP-B,ORD-1047,12/05/2024,10000,21/06/2024,4,0,15
CUST-048,21/02/2024,920,Middle East,SUP-D,ORD-1048,15/05/2024,20500,24/06/2024,4,1,16
CUST-049,22/02/2024,880,North America,SUP-F,ORD-1049,18/05/2024,12500,27/06/2024,5,0,12
CUST-050,23/02/2024,810,Europe,SUP-C,ORD-1050,20/05/2024,7000,29/06/2024,3,1,14
CUST-051,24/02/2024,940,Asia-Pacific,SUP-G,ORD-1051,22/05/2024,25000,01/07/2024,5,0,15
CUST-052,25/02/2024,830,Africa,SUP-A,ORD-1052,25/05/2024,5000,04/07/2024,4,2,20
CUST-053,26/02/2024,900,North America,SUP-E,ORD-1053,28/05/2024,18000,07/07/2024,4,1,13
CUST-054,27/02/2024,870,Europe,SUP-B,ORD-1054,30/05/2024,13500,09/07/2024,5,0,14
CUST-055,28/02/2024,890,Asia-Pacific,SUP-D,ORD-1055,02/06/2024,21000,12/07/2024,3,1,16
CUST-056,01/03/2024,920,Middle East,SUP-F,ORD-1056,05/06/2024,9500,15/07/2024,4,0,15
CUST-057,02/03/2024,850,North America,SUP-C,ORD-1057,08/06/2024,17000,18/07/2024,5,0,12
CUST-058,03/03/2024,910,Europe,SUP-G,ORD-1058,10/06/2024,11500,20/07/2024,4,1,14
CUST-059,04/03/2024,840,Asia-Pacific,SUP-A,ORD-1059,12/06/2024,23500,22/07/2024,5,0,15
CUST-060,05/03/2024,930,Africa,SUP-E,ORD-1060,15/06/2024,6500,25/07/2024,3,2,19
CUST-061,06/03/2024,820,North America,SUP-B,ORD-1061,18/06/2024,15500,28/07/2024,4,0,13
CUST-062,07/03/2024,960,Europe,SUP-D,ORD-1062,20/06/2024,10000,30/07/2024,5,0,14
CUST-063,08/03/2024,800,Asia-Pacific,SUP-F,ORD-1063,22/06/2024,20000,01/08/2024,4,1,16
CUST-064,09/03/2024,940,Middle East,SUP-C,ORD-1064,25/06/2024,8000,04/08/2024,4,1,15
CUST-065,10/03/2024,880,North America,SUP-G,ORD-1065,28/06/2024,19000,07/08/2024,5,0,12
CUST-066,11/03/2024,860,Europe,SUP-A,ORD-1066,30/06/2024,12500,09/08/2024,4,0,14
CUST-067,12/03/2024,910,Asia-Pacific,SUP-E,ORD-1067,02/07/2024,22000,11/08/2024,3,3,15
CUST-068,13/03/2024,850,Africa,SUP-B,ORD-1068,05/07/2024,7500,14/08/2024,5,0,17
CUST-069,14/03/2024,920,North America,SUP-D,ORD-1069,08/07/2024,14500,17/08/2024,4,1,13
CUST-070,15/03/2024,830,Europe,SUP-F,ORD-1070,10/07/2024,10500,19/08/2024,4,0,14
CUST-071,16/03/2024,950,Asia-Pacific,SUP-C,ORD-1071,12/07/2024,25000,21/08/2024,5,0,16
CUST-072,17/03/2024,810,Middle East,SUP-G,ORD-1072,15/07/2024,5500,24/08/2024,3,1,16
CUST-073,18/03/2024,900,North America,SUP-A,ORD-1073,18/07/2024,17500,27/08/2024,5,0,12
CUST-074,19/03/2024,870,Europe,SUP-E,ORD-1074,20/07/2024,13000,29/08/2024,4,1,14
CUST-075,20/03/2024,890,Asia-Pacific,SUP-B,ORD-1075,22/07/2024,21500,31/08/2024,4,0,15
CUST-076,21/03/2024,930,Africa,SUP-D,ORD-1076,25/07/2024,9000,04/09/2024,3,2,19
CUST-077,22/03/2024,840,North America,SUP-F,ORD-1077,28/07/2024,16000,07/09/2024,5,0,13
CUST-078,23/03/2024,910,Europe,SUP-C,ORD-1078,30/07/2024,11000,09/09/2024,4,1,14
CUST-079,24/03/2024,820,Asia-Pacific,SUP-G,ORD-1079,02/08/2024,23000,11/09/2024,5,0,16
CUST-080,25/03/2024,960,Middle East,SUP-A,ORD-1080,05/08/2024,6500,14/09/2024,4,1,15
CUST-081,26/03/2024,800,North America,SUP-E,ORD-1081,08/08/2024,18500,17/09/2024,3,1,12
CUST-082,27/03/2024,940,Europe,SUP-B,ORD-1082,10/08/2024,14500,19/09/2024,5,0,14
CUST-083,28/03/2024,880,Asia-Pacific,SUP-D,ORD-1083,12/08/2024,20500,21/09/2024,4,2,15
CUST-084,29/03/2024,860,Africa,SUP-F,ORD-1084,15/08/2024,8000,24/09/2024,4,0,18
CUST-085,30/03/2024,900,North America,SUP-C,ORD-1085,18/08/2024,17000,27/09/2024,5,0,13
CUST-086,31/03/2024,850,Europe,SUP-G,ORD-1086,20/08/2024,12000,29/09/2024,3,1,14
CUST-087,01/04/2024,920,Asia-Pacific,SUP-A,ORD-1087,22/08/2024,24500,01/10/2024,4,1,16
CUST-088,02/04/2024,830,Middle East,SUP-E,ORD-1088,25/08/2024,6000,04/10/2024,5,0,16
CUST-089,03/04/2024,910,North America,SUP-B,ORD-1089,28/08/2024,19500,07/10/2024,4,0,12
CUST-090,04/04/2024,870,Europe,SUP-D,ORD-1090,30/08/2024,10500,09/10/2024,4,1,14
CUST-091,05/04/2024,890,Asia-Pacific,SUP-F,ORD-1091,02/09/2024,22500,12/10/2024,5,0,15
CUST-092,06/04/2024,950,Africa,SUP-C,ORD-1092,05/09/2024,7500,15/10/2024,3,2,19
CUST-093,07/04/2024,840,North America,SUP-G,ORD-1093,08/09/2024,15000,18/10/2024,5,0,13
CUST-094,08/04/2024,900,Europe,SUP-A,ORD-1094,10/09/2024,13500,20/10/2024,4,1,14
CUST-095,09/04/2024,820,Asia-Pacific,SUP-E,ORD-1095,12/09/2024,21000,22/10/2024,4,0,16
CUST-096,10/04/2024,960,Middle East,SUP-B,ORD-1096,15/09/2024,9500,25/10/2024,5,0,15
CUST-097,11/04/2024,810,North America,SUP-D,ORD-1097,18/09/2024,18000,28/10/2024,3,1,12
CUST-098,12/04/2024,940,Europe,SUP-F,ORD-1098,20/09/2024,11500,30/10/2024,4,1,14
CUST-099,13/04/2024,880,Asia-Pacific,SUP-C,ORD-1099,22/09/2024,23500,01/11/2024,5,0,15
CUST-100,14/04/2024,860,Africa,SUP-G,ORD-1100,25/09/2024,5000,04/11/2024,4,2,20
CUST-101,15/04/2024,850,North America,SUP-A,ORD-1101,28/09/2024,16500,07/11/2024,4,0,13
CUST-102,16/04/2024,920,Europe,SUP-E,ORD-1102,30/09/2024,12000,09/11/2024,5,0,14
CUST-103,17/04/2024,830,Asia-Pacific,SUP-B,ORD-1103,02/10/2024,20000,11/11/2024,3,1,16
CUST-104,18/04/2024,950,North America,SUP-D,ORD-1104,05/10/2024,17500,14/11/2024,5,0,12
CUST-105,19/04/2024,810,Europe,SUP-F,ORD-1105,08/10/2024,8500,17/11/2024,4,1,14
CUST-106,20/04/2024,900,Asia-Pacific,SUP-C,ORD-1106,10/10/2024,22000,19/11/2024,4,0,15
CUST-107,21/04/2024,870,Middle East,SUP-G,ORD-1107,12/10/2024,10000,21/11/2024,5,0,16
CUST-108,22/04/2024,890,North America,SUP-A,ORD-1108,15/10/2024,19000,24/11/2024,4,1,13
CUST-109,23/04/2024,930,Europe,SUP-E,ORD-1109,18/10/2024,13000,27/11/2024,3,2,14
CUST-110,24/04/2024,840,Asia-Pacific,SUP-B,ORD-1110,20/10/2024,24000,29/11/2024,5,0,15
CUST-111,25/04/2024,960,Africa,SUP-D,ORD-1111,22/10/2024,6000,01/12/2024,4,1,19
CUST-112,26/04/2024,820,North America,SUP-F,ORD-1112,25/10/2024,15000,04/12/2024,4,0,13
CUST-113,27/04/2024,940,Europe,SUP-C,ORD-1113,28/10/2024,11000,07/12/2024,5,0,14
CUST-114,28/04/2024,800,Asia-Pacific,SUP-G,ORD-1114,30/10/2024,23000,09/12/2024,3,1,16
CUST-115,29/04/2024,910,Middle East,SUP-A,ORD-1115,02/11/2024,7500,12/12/2024,4,1,15
CUST-116,30/04/2024,880,North America,SUP-E,ORD-1116,05/11/2024,18000,15/12/2024,5,0,12
CUST-117,01/05/2024,860,Europe,SUP-B,ORD-1117,08/11/2024,12500,18/12/2024,4,2,14
CUST-118,02/05/2024,920,Asia-Pacific,SUP-D,ORD-1118,10/11/2024,21500,20/12/2024,5,0,15
CUST-119,03/05/2024,850,Africa,SUP-F,ORD-1119,12/11/2024,9500,22/12/2024,4,1,18
CUST-120,04/05/2024,890,North America,SUP-C,ORD-1120,15/11/2024,17000,25/12/2024,3,1,13
CUST-121,05/05/2024,830,Europe,SUP-G,ORD-1121,18/11/2024,14000,28/12/2024,5,0,14
CUST-122,06/05/2024,950,Asia-Pacific,SUP-A,ORD-1122,20/11/2024,20500,30/12/2024,4,0,16
CUST-123,07/05/2024,810,Middle East,SUP-E,ORD-1123,22/11/2024,8000,01/01/2025,4,1,15
CUST-124,08/05/2024,900,North America,SUP-B,ORD-1124,25/11/2024,19500,04/01/2025,5,0,12
CUST-125,09/05/2024,870,Europe,SUP-D,ORD-1125,28/11/2024,10000,07/01/2025,4,1,14
CUST-126,10/05/2024,890,Asia-Pacific,SUP-F,ORD-1126,30/11/2024,22500,09/01/2025,3,2,15
CUST-127,11/05/2024,930,Africa,SUP-C,ORD-1127,02/12/2024,7000,11/01/2025,5,0,17
CUST-128,12/05/2024,840,North America,SUP-G,ORD-1128,05/12/2024,16000,14/01/2025,4,1,13
CUST-129,13/05/2024,910,Europe,SUP-A,ORD-1129,08/12/2024,11500,17/01/2025,4,0,14
CUST-130,14/05/2024,820,Asia-Pacific,SUP-E,ORD-1130,10/12/2024,24500,19/01/2025,5,0,16
CUST-131,15/05/2024,960,Middle East,SUP-B,ORD-1131,12/12/2024,9000,21/01/2025,3,1,16
CUST-132,16/05/2024,800,North America,SUP-D,ORD-1132,15/12/2024,18500,24/01/2025,4,1,12
CUST-133,17/05/2024,940,Europe,SUP-F,ORD-1133,18/12/2024,15000,27/01/2025,5,0,14
CUST-134,18/05/2024,880,Asia-Pacific,SUP-C,ORD-1134,20/12/2024,20000,29/01/2025,4,2,15
CUST-135,19/05/2024,860,Africa,SUP-G,ORD-1135,22/12/2024,6500,31/01/2025,4,0,18
CUST-136,20/05/2024,900,North America,SUP-A,ORD-1136,25/12/2024,17500,04/02/2025,5,0,13
CUST-137,21/05/2024,850,Europe,SUP-E,ORD-1137,28/12/2024,12000,07/02/2025,3,1,14
CUST-138,22/05/2024,920,Asia-Pacific,SUP-B,ORD-1138,30/12/2024,23000,09/02/2025,5,0,16
CUST-139,23/05/2024,830,Middle East,SUP-D,ORD-1139,02/01/2025,10500,11/02/2025,4,1,15
CUST-140,24/05/2024,950,North America,SUP-F,ORD-1140,05/01/2025,19000,14/02/2025,4,0,12
CUST-141,25/05/2024,810,Europe,SUP-C,ORD-1141,08/01/2025,13500,17/02/2025,5,0,14
CUST-142,26/05/2024,900,Asia-Pacific,SUP-G,ORD-1142,10/01/2025,25000,19/02/2025,3,2,16
CUST-143,27/05/2024,870,Africa,SUP-A,ORD-1143,12/01/2025,8500,21/02/2025,4,1,17
CUST-144,28/05/2024,890,North America,SUP-E,ORD-1144,15/01/2025,16500,24/02/2025,5,0,13
CUST-145,29/05/2024,930,Europe,SUP-B,ORD-1145,18/01/2025,11000,27/02/2025,4,0,14
CUST-146,30/05/2024,840,Asia-Pacific,SUP-D,ORD-1146,20/01/2025,22000,01/03/2025,5,0,15
CUST-147,31/05/2024,960,Middle East,SUP-F,ORD-1147,22/01/2025,7000,03/03/2025,4,1,16
CUST-148,01/06/2024,820,North America,SUP-C,ORD-1148,25/01/2025,18000,06/03/2025,3,1,12
CUST-149,02/06/2024,940,Europe,SUP-G,ORD-1149,28/01/2025,14500,09/03/2025,5,0,14
CUST-150,03/06/2024,800,Asia-Pacific,SUP-A,ORD-1150,30/01/2025,21000,11/03/2025,4,2,15
CUST-151,04/06/2024,910,Africa,SUP-E,ORD-1151,02/02/2025,9500,14/03/2025,4,0,18
CUST-152,05/06/2024,880,North America,SUP-B,ORD-1152,05/02/2025,15500,17/03/2025,5,0,13
CUST-153,06/06/2024,860,Europe,SUP-D,ORD-1153,08/02/2025,10000,20/03/2025,3,1,14
CUST-154,07/06/2024,920,Asia-Pacific,SUP-F,ORD-1154,10/02/2025,23500,22/03/2025,4,1,16
CUST-155,08/06/2024,850,Middle East,SUP-C,ORD-1155,12/02/2025,6000,24/03/2025,5,0,15
CUST-156,09/06/2024,890,North America,SUP-G,ORD-1156,15/02/2025,19000,27/03/2025,4,0,12
CUST-157,10/06/2024,830,Europe,SUP-A,ORD-1157,18/02/2025,12500,30/03/2025,5,0,14
CUST-158,11/06/2024,950,Asia-Pacific,SUP-E,ORD-1158,20/02/2025,20000,01/04/2025,4,2,15
CUST-159,12/06/2024,810,Africa,SUP-B,ORD-1159,22/02/2025,7500,03/04/2025,3,1,19
CUST-160,13/06/2024,900,North America,SUP-D,ORD-1160,25/02/2025,18000,06/04/2025,5,0,13
CUST-161,14/06/2024,870,Europe,SUP-F,ORD-1161,28/02/2025,13000,09/04/2025,4,1,14
CUST-162,15/06/2024,890,Asia-Pacific,SUP-C,ORD-1162,02/03/2025,24000,11/04/2025,4,0,16
CUST-163,16/06/2024,930,Middle East,SUP-G,ORD-1163,05/03/2025,9000,14/04/2025,5,0,16
CUST-164,17/06/2024,840,North America,SUP-A,ORD-1164,08/03/2025,16500,17/04/2025,3,1,12
CUST-165,18/06/2024,910,Europe,SUP-E,ORD-1165,10/03/2025,11500,19/04/2025,4,1,14
CUST-166,19/06/2024,820,Asia-Pacific,SUP-B,ORD-1166,12/03/2025,22500,21/04/2025,5,0,15
CUST-167,20/06/2024,960,Africa,SUP-D,ORD-1167,15/03/2025,8000,24/04/2025,4,2,18
CUST-168,21/06/2024,800,North America,SUP-F,ORD-1168,18/03/2025,15000,27/04/2025,5,0,13
CUST-169,22/06/2024,940,Europe,SUP-C,ORD-1169,20/03/2025,10000,29/04/2025,4,0,14
CUST-170,23/06/2024,880,Asia-Pacific,SUP-G,ORD-1170,22/03/2025,21000,01/05/2025,3,1,16
CUST-171,24/06/2024,860,Middle East,SUP-A,ORD-1171,25/03/2025,6500,04/05/2025,4,1,15
CUST-172,25/06/2024,900,North America,SUP-E,ORD-1172,28/03/2025,19500,07/05/2025,5,0,12
CUST-173,26/06/2024,850,Europe,SUP-B,ORD-1173,30/03/2025,13500,09/05/2025,4,2,14
CUST-174,27/06/2024,920,Asia-Pacific,SUP-D,ORD-1174,02/04/2025,20500,12/05/2025,4,0,15
CUST-175,28/06/2024,830,Africa,SUP-F,ORD-1175,05/04/2025,9500,15/05/2025,5,0,17
CUST-176,29/06/2024,950,North America,SUP-C,ORD-1176,08/04/2025,17000,18/05/2025,3,1,13
CUST-177,30/06/2024,810,Europe,SUP-G,ORD-1177,10/04/2025,12000,20/05/2025,4,1,14
CUST-178,01/07/2024,900,Asia-Pacific,SUP-A,ORD-1178,12/04/2025,23000,22/05/2025,5,0,16
CUST-179,02/07/2024,870,Middle East,SUP-E,ORD-1179,15/04/2025,8000,25/05/2025,4,0,16
CUST-180,03/07/2024,890,North America,SUP-B,ORD-1180,18/04/2025,18500,28/05/2025,5,0,12
CUST-181,04/07/2024,930,Europe,SUP-D,ORD-1181,20/04/2025,14000,30/05/2025,4,2,14
CUST-182,05/07/2024,840,Asia-Pacific,SUP-F,ORD-1182,22/04/2025,25000,01/06/2025,4,1,15
CUST-183,06/07/2024,960,Africa,SUP-C,ORD-1183,25/04/2025,6500,04/06/2025,3,1,19
CUST-184,07/07/2024,820,North America,SUP-G,ORD-1184,28/04/2025,16000,07/06/2025,5,0,13
CUST-185,08/07/2024,940,Europe,SUP-A,ORD-1185,30/04/2025,10500,09/06/2025,4,0,14
CUST-186,09/07/2024,800,Asia-Pacific,SUP-E,ORD-1186,02/05/2025,22000,11/06/2025,5,0,16
CUST-187,10/07/2024,910,Middle East,SUP-B,ORD-1187,05/05/2025,10000,14/06/2025,4,1,15
CUST-188,11/07/2024,880,North America,SUP-D,ORD-1188,08/05/2025,19500,17/06/2025,3,2,12
CUST-189,12/07/2024,860,Europe,SUP-F,ORD-1189,10/05/2025,13000,19/06/2025,5,0,14
CUST-190,13/07/2024,920,Asia-Pacific,SUP-C,ORD-1190,12/05/2025,21500,21/06/2025,4,1,15
CUST-191,14/07/2024,850,Africa,SUP-G,ORD-1191,15/05/2025,8500,24/06/2025,4,0,18
CUST-192,15/07/2024,890,North America,SUP-A,ORD-1192,18/05/2025,17000,27/06/2025,5,0,13
CUST-193,16/07/2024,830,Europe,SUP-E,ORD-1193,20/05/2025,12000,29/06/2025,3,1,14
CUST-194,17/07/2024,950,Asia-Pacific,SUP-B,ORD-1194,22/05/2025,24000,01/07/2025,5,0,16
CUST-195,18/07/2024,810,Middle East,SUP-D,ORD-1195,25/05/2025,7500,04/07/2025,4,1,16
CUST-196,19/07/2024,900,North America,SUP-F,ORD-1196,28/05/2025,18500,07/07/2025,4,0,12
CUST-197,20/07/2024,870,Europe,SUP-C,ORD-1197,30/05/2025,13500,09/07/2025,5,0,14
CUST-198,21/07/2024,890,Asia-Pacific,SUP-G,ORD-1198,02/06/2025,20000,12/07/2025,3,2,15
CUST-199,22/07/2024,930,Africa,SUP-A,ORD-1199,05/06/2025,9000,15/07/2025,4,1,17
CUST-200,23/07/2024,840,North America,SUP-E,ORD-1200,08/06/2025,16000,18/07/2025,5,0,13
CUST-201,24/07/2024,910,Europe,SUP-B,ORD-1201,10/06/2025,11000,20/07/2025,4,0,14
CUST-202,25/07/2024,820,Asia-Pacific,SUP-D,ORD-1202,12/06/2025,22500,22/07/2025,5,0,16
CUST-203,26/07/2024,960,Middle East,SUP-F,ORD-1203,15/06/2025,6000,25/07/2025,4,1,15
CUST-204,27/07/2024,800,North America,SUP-C,ORD-1204,18/06/2025,19500,28/07/2025,3,1,12
CUST-205,28/07/2024,940,Europe,SUP-G,ORD-1205,20/06/2025,15000,30/07/2025,5,0,14
CUST-206,29/07/2024,880,Asia-Pacific,SUP-A,ORD-1206,22/06/2025,20500,01/08/2025,4,2,15
CUST-207,30/07/2024,860,Africa,SUP-E,ORD-1207,25/06/2025,8000,04/08/2025,4,0,18
CUST-208,31/07/2024,900,North America,SUP-B,ORD-1208,28/06/2025,17000,07/08/2025,5,0,13
CUST-209,01/08/2024,850,Europe,SUP-D,ORD-1209,30/06/2025,12000,09/08/2025,3,1,14
CUST-210,02/08/2024,920,Asia-Pacific,SUP-F,ORD-1210,02/07/2025,23500,11/08/2025,5,0,16
CUST-211,03/08/2024,830,Middle East,SUP-C,ORD-1211,05/07/2025,10000,14/08/2025,4,1,15
CUST-212,04/08/2024,950,North America,SUP-G,ORD-1212,08/07/2025,18000,17/08/2025,4,0,12
CUST-213,05/08/2024,810,Europe,SUP-A,ORD-1213,10/07/2025,13500,19/08/2025,5,0,14
CUST-214,06/08/2024,900,Asia-Pacific,SUP-E,ORD-1214,12/07/2025,22000,21/08/2025,3,2,15
CUST-215,07/08/2024,870,Africa,SUP-B,ORD-1215,15/07/2025,7000,24/08/2025,4,1,19
CUST-216,08/08/2024,890,North America,SUP-D,ORD-1216,18/07/2025,19000,27/08/2025,5,0,13
CUST-217,09/08/2024,930,Europe,SUP-F,ORD-1217,20/07/2025,11500,29/08/2025,4,0,14
CUST-218,10/08/2024,840,Asia-Pacific,SUP-C,ORD-1218,22/07/2025,24500,31/08/2025,5,0,16
CUST-219,11/08/2024,960,Middle East,SUP-G,ORD-1219,25/07/2025,9500,04/09/2025,4,1,16
CUST-220,12/08/2024,820,North America,SUP-A,ORD-1220,28/07/2025,16000,07/09/2025,3,1,12
CUST-221,13/08/2024,940,Europe,SUP-E,ORD-1221,30/07/2025,12500,09/09/2025,5,0,14
CUST-222,14/08/2024,800,Asia-Pacific,SUP-B,ORD-1222,02/08/2025,21000,11/09/2025,4,2,15
CUST-223,15/08/2024,910,Africa,SUP-D,ORD-1223,05/08/2025,8000,14/09/2025,4,0,18
CUST-224,16/08/2024,880,North America,SUP-F,ORD-1224,08/08/2025,17500,17/09/2025,5,0,13
CUST-225,17/08/2024,860,Europe,SUP-C,ORD-1225,10/08/2025,13000,19/09/2025,3,1,14
CUST-226,18/08/2024,920,Asia-Pacific,SUP-G,ORD-1226,12/08/2025,23000,21/09/2025,5,0,16
CUST-227,19/08/2024,850,Middle East,SUP-A,ORD-1227,15/08/2025,6000,24/09/2025,4,1,15
CUST-228,20/08/2024,890,North America,SUP-E,ORD-1228,18/08/2025,20000,27/09/2025,4,0,12
CUST-229,21/08/2024,830,Europe,SUP-B,ORD-1229,20/08/2025,10500,29/09/2025,5,0,14
CUST-230,22/08/2024,950,Asia-Pacific,SUP-D,ORD-1230,22/08/2025,22000,01/10/2025,4,2,15
CUST-231,23/08/2024,810,Africa,SUP-F,ORD-1231,25/08/2025,7500,04/10/2025,3,1,19
CUST-232,24/08/2024,900,North America,SUP-C,ORD-1232,28/08/2025,18500,07/10/2025,5,0,13
CUST-233,25/08/2024,870,Europe,SUP-G,ORD-1233,30/08/2025,14000,09/10/2025,4,1,14
CUST-234,26/08/2024,890,Asia-Pacific,SUP-A,ORD-1234,02/09/2025,25000,12/10/2025,4,0,16
CUST-235,27/08/2024,930,Middle East,SUP-E,ORD-1235,05/09/2025,9500,15/10/2025,5,0,16
CUST-236,28/08/2024,840,North America,SUP-B,ORD-1236,08/09/2025,16000,18/10/2025,3,1,12
CUST-237,29/08/2024,910,Europe,SUP-D,ORD-1237,10/09/2025,11000,20/10/2025,4,1,14
CUST-238,30/08/2024,820,Asia-Pacific,SUP-F,ORD-1238,12/09/2025,23000,22/10/2025,5,0,15
CUST-239,31/08/2024,960,Africa,SUP-C,ORD-1239,15/09/2025,8000,25/10/2025,4,2,18
CUST-240,01/09/2024,800,North America,SUP-G,ORD-1240,18/09/2025,17000,28/10/2025,5,0,13
CUST-241,02/09/2024,940,Europe,SUP-A,ORD-1241,20/09/2025,12500,30/10/2025,4,0,14
CUST-242,03/09/2024,880,Asia-Pacific,SUP-E,ORD-1242,22/09/2025,21500,01/11/2025,3,1,16
CUST-243,04/09/2024,860,Middle East,SUP-B,ORD-1243,25/09/2025,6500,04/11/2025,4,1,15
CUST-244,05/09/2024,900,North America,SUP-D,ORD-1244,28/09/2025,20000,07/11/2025,5,0,12
CUST-245,06/09/2024,850,Europe,SUP-F,ORD-1245,30/09/2025,15000,09/11/2025,4,2,14
CUST-246,07/09/2024,920,Asia-Pacific,SUP-C,ORD-1246,02/10/2025,20500,11/11/2025,4,0,15
