shipment_id,type,date,product_category,origin,O_Country,destination,D_Country,value,freight_cost,customs_clearance_time_days,delivery_status
SHP-2024-0096,Import,07/04/2024,Consumer Goods,Ho Chi Minh City,Vietnam,Mumbai,India,68000,3400,2.3,On-Time
SHP-2024-0097,Export,08/04/2024,Textiles,Mumbai,India,Dubai,UAE,86000,4300,1.8,On-Time
SHP-2024-0098,Import,09/04/2024,Electronics,Seoul,South Korea,Mumbai,India,200000,10000,4.1,Delayed
SHP-2024-0100,Import,11/04/2024,Textiles,Dhaka,Bangladesh,Mumbai,India,100000,5000,3,On-Time
SHP-2024-0101,Export,12/04/2024,Consumer Goods,Mumbai,India,Sydney,Australia,65000,3250,3.4,On-Time
SHP-2024-0102,Import,13/04/2024,Electronics,Taipei,Taiwan,Mumbai,India,230000,11500,4.3,On-Time
SHP-2024-0103,Export,14/04/2024,Industrial Equipment,Mumbai,India,Rotterdam,Netherlands,150000,7500,3.6,On-Time
SHP-2024-0104,Import,15/04/2024,Consumer Goods,Bangkok,Thailand,Mumbai,India,80000,4000,2.7,Delayed
SHP-2024-0105,Export,16/04/2024,Textiles,Mumbai,India,New York,USA,125000,6250,3.2,On-Time
SHP-2024-0106,Import,17/04/2024,Industrial Equipment,Genoa,Italy,Mumbai,India,210000,10500,4.8,On-Time
SHP-2024-0107,Export,18/04/2024,Electronics,Mumbai,India,Los Angeles,USA,170000,8500,3.3,On-Time
SHP-2024-0108,Import,19/04/2024,Textiles,Istanbul,Turkey,Mumbai,India,90000,4500,3.5,On-Time
SHP-2024-0109,Export,20/04/2024,Consumer Goods,Mumbai,India,Jeddah,Saudi Arabia,45000,2250,2.2,On-Time
SHP-2024-0110,Import,21/04/2024,Electronics,San Francisco,USA,Mumbai,India,240000,12000,4.4,Delayed
SHP-2024-0111,Export,22/04/2024,Industrial Equipment,Mumbai,India,Durban,South Africa,105000,5250,3.9,On-Time
SHP-2024-0112,Import,23/04/2024,Consumer Goods,Jakarta,Indonesia,Mumbai,India,56000,2800,2.9,On-Time
SHP-2024-0113,Export,24/04/2024,Textiles,Mumbai,India,Lagos,Nigeria,73000,3650,3.7,On-Time
SHP-2024-0114,Import,25/04/2024,Industrial Equipment,Yokohama,Japan,Mumbai,India,330000,16500,5.1,On-Time
SHP-2024-0115,Export,26/04/2024,Electronics,Mumbai,India,Mexico City,Mexico,132000,6600,4.2,On-Time
SHP-2024-0116,Import,27/04/2024,Consumer Goods,Manila,Philippines,Mumbai,India,48000,2400,3.1,Delayed
SHP-2024-0117,Export,28/04/2024,Textiles,Mumbai,India,Cairo,Egypt,58000,2900,2.6,On-Time
SHP-2024-0118,Import,29/04/2024,Electronics,Helsinki,Finland,Mumbai,India,175000,8750,4,On-Time
SHP-2024-0119,Export,30/04/2024,Consumer Goods,Mumbai,India,Rio de Janeiro,Brazil,78000,3900,4.6,On-Time
SHP-2024-0120,Import,01/05/2024,Industrial Equipment,Busan,South Korea,Mumbai,India,300000,15000,4.9,On-Time
SHP-2024-0121,Export,02/05/2024,Electronics,Mumbai,India,New York,USA,98000,4900,2.5,On-Time
SHP-2024-0122,Import,03/05/2024,Textiles,Shanghai,China,Mumbai,India,140000,7000,3.9,On-Time
SHP-2024-0123,Export,04/05/2024,Consumer Goods,Mumbai,India,London,UK,54000,2700,2.2,Delayed
SHP-2024-0124,Import,05/05/2024,Industrial Equipment,Hamburg,Germany,Mumbai,India,280000,14000,4.6,On-Time
SHP-2024-0125,Export,06/05/2024,Electronics,Mumbai,India,Tokyo,Japan,115000,5750,2.9,On-Time
SHP-2024-0126,Import,07/05/2024,Consumer Goods,Ho Chi Minh City,Vietnam,Mumbai,India,70000,3500,2.4,On-Time
SHP-2024-0127,Export,08/05/2024,Textiles,Mumbai,India,Dubai,UAE,89000,4450,1.9,On-Time
SHP-2024-0128,Import,09/05/2024,Electronics,Seoul,South Korea,Mumbai,India,205000,10250,4.2,On-Time
SHP-2024-0130,Import,11/05/2024,Textiles,Dhaka,Bangladesh,Mumbai,India,103000,5150,3.1,On-Time
SHP-2024-0131,Export,12/05/2024,Consumer Goods,Mumbai,India,Sydney,Australia,68000,3400,3.5,On-Time
SHP-2024-0132,Import,13/05/2024,Electronics,Taipei,Taiwan,Mumbai,India,235000,11750,4.4,On-Time
SHP-2024-0133,Export,14/05/2024,Industrial Equipment,Mumbai,India,Rotterdam,Netherlands,155000,7750,3.7,On-Time
SHP-2024-0134,Import,15/05/2024,Consumer Goods,Bangkok,Thailand,Mumbai,India,82000,4100,2.8,On-Time
SHP-2024-0135,Export,16/05/2024,Textiles,Mumbai,India,New York,USA,130000,6500,3.3,Delayed
SHP-2024-0136,Import,17/05/2024,Industrial Equipment,Genoa,Italy,Mumbai,India,215000,10750,4.9,On-Time
SHP-2024-0137,Export,18/05/2024,Electronics,Mumbai,India,Los Angeles,USA,175000,8750,3.4,On-Time
SHP-2024-0138,Import,19/05/2024,Textiles,Istanbul,Turkey,Mumbai,India,93000,4650,3.6,On-Time
SHP-2024-0139,Export,20/05/2024,Consumer Goods,Mumbai,India,Jeddah,Saudi Arabia,48000,2400,2.3,On-Time
SHP-2024-0140,Import,21/05/2024,Electronics,San Francisco,USA,Mumbai,India,245000,12250,4.5,On-Time
SHP-2024-0141,Export,22/05/2024,Industrial Equipment,Mumbai,India,Durban,South Africa,108000,5400,4,Delayed
SHP-2024-0142,Import,23/05/2024,Consumer Goods,Jakarta,Indonesia,Mumbai,India,58000,2900,3,On-Time
SHP-2024-0143,Export,24/05/2024,Textiles,Mumbai,India,Lagos,Nigeria,75000,3750,3.8,On-Time
SHP-2024-0144,Import,25/05/2024,Industrial Equipment,Yokohama,Japan,Mumbai,India,340000,17000,5.2,On-Time
SHP-2024-0145,Export,26/05/2024,Electronics,Mumbai,India,Mexico City,Mexico,135000,6750,4.3,On-Time
SHP-2024-0146,Import,27/05/2024,Consumer Goods,Manila,Philippines,Mumbai,India,50000,2500,3.2,On-Time
SHP-2024-0147,Export,28/05/2024,Textiles,Mumbai,India,Cairo,Egypt,60000,3000,2.7,Delayed
SHP-2024-0148,Import,29/05/2024,Electronics,Helsinki,Finland,Mumbai,India,180000,9000,4.1,On-Time
SHP-2024-0149,Export,30/05/2024,Consumer Goods,Mumbai,India,Rio de Janeiro,Brazil,80000,4000,4.7,On-Time
SHP-2024-0150,Import,31/05/2024,Industrial Equipment,Busan,South Korea,Mumbai,India,305000,15250,5,On-Time
SHP-2024-0151,Export,01/06/2024,Electronics,Mumbai,India,New York,USA,101000,5050,2.6,On-Time
SHP-2024-0152,Import,02/06/2024,Textiles,Shanghai,China,Mumbai,India,145000,7250,4,On-Time
SHP-2024-0153,Export,03/06/2024,Consumer Goods,Mumbai,India,London,UK,56000,2800,2.3,On-Time
SHP-2024-0154,Import,04/06/2024,Industrial Equipment,Hamburg,Germany,Mumbai,India,285000,14250,4.7,Delayed
SHP-2024-0155,Export,05/06/2024,Electronics,Mumbai,India,Tokyo,Japan,118000,5900,3,On-Time
SHP-2024-0156,Import,06/06/2024,Consumer Goods,Ho Chi Minh City,Vietnam,Mumbai,India,72000,3600,2.5,On-Time
SHP-2024-0157,Export,07/06/2024,Textiles,Mumbai,India,Dubai,UAE,92000,4600,2,On-Time
SHP-2024-0158,Import,08/06/2024,Electronics,Seoul,South Korea,Mumbai,India,210000,10500,4.3,On-Time
SHP-2024-0160,Import,10/06/2024,Textiles,Dhaka,Bangladesh,Mumbai,India,106000,5300,3.2,Delayed
SHP-2024-0161,Export,11/06/2024,Consumer Goods,Mumbai,India,Sydney,Australia,71000,3550,3.6,On-Time
SHP-2024-0162,Import,12/06/2024,Electronics,Taipei,Taiwan,Mumbai,India,240000,12000,4.5,On-Time
SHP-2024-0163,Export,13/06/2024,Industrial Equipment,Mumbai,India,Rotterdam,Netherlands,160000,8000,3.8,On-Time
SHP-2024-0164,Import,14/06/2024,Consumer Goods,Bangkok,Thailand,Mumbai,India,85000,4250,2.9,On-Time
SHP-2024-0165,Export,15/06/2024,Textiles,Mumbai,India,New York,USA,135000,6750,3.4,On-Time
SHP-2024-0166,Import,16/06/2024,Industrial Equipment,Genoa,Italy,Mumbai,India,220000,11000,5,Delayed
SHP-2024-0167,Export,17/06/2024,Electronics,Mumbai,India,Los Angeles,USA,180000,9000,3.5,On-Time
SHP-2024-0168,Import,18/06/2024,Textiles,Istanbul,Turkey,Mumbai,India,96000,4800,3.7,On-Time
SHP-2024-0169,Export,19/06/2024,Consumer Goods,Mumbai,India,Jeddah,Saudi Arabia,51000,2550,2.4,On-Time
SHP-2024-0170,Import,20/06/2024,Electronics,San Francisco,USA,Mumbai,India,250000,12500,4.6,On-Time
SHP-2024-0171,Export,21/06/2024,Industrial Equipment,Mumbai,India,Durban,South Africa,112000,5600,4.1,On-Time
SHP-2024-0172,Import,22/06/2024,Consumer Goods,Jakarta,Indonesia,Mumbai,India,61000,3050,3.1,Delayed
SHP-2024-0173,Export,23/06/2024,Textiles,Mumbai,India,Lagos,Nigeria,78000,3900,3.9,On-Time
SHP-2024-0174,Import,24/06/2024,Industrial Equipment,Yokohama,Japan,Mumbai,India,350000,17500,5.3,On-Time
SHP-2024-0175,Export,25/06/2024,Electronics,Mumbai,India,Mexico City,Mexico,138000,6900,4.4,On-Time
SHP-2024-0176,Import,26/06/2024,Consumer Goods,Manila,Philippines,Mumbai,India,53000,2650,3.3,On-Time
SHP-2024-0177,Export,27/06/2024,Textiles,Mumbai,India,Cairo,Egypt,63000,3150,2.8,On-Time
SHP-2024-0178,Import,28/06/2024,Electronics,Helsinki,Finland,Mumbai,India,185000,9250,4.2,Delayed
SHP-2024-0179,Export,29/06/2024,Consumer Goods,Mumbai,India,Rio de Janeiro,Brazil,83000,4150,4.8,On-Time
SHP-2024-0180,Import,30/06/2024,Industrial Equipment,Busan,South Korea,Mumbai,India,310000,15500,5.1,On-Time
SHP-2024-0181,Export,01/07/2024,Electronics,Mumbai,India,New York,USA,104000,5200,2.7,On-Time
SHP-2024-0182,Import,02/07/2024,Textiles,Shanghai,China,Mumbai,India,150000,7500,4.1,On-Time
SHP-2024-0183,Export,03/07/2024,Consumer Goods,Mumbai,India,London,UK,58000,2900,2.4,On-Time
SHP-2024-0184,Import,04/07/2024,Industrial Equipment,Hamburg,Germany,Mumbai,India,290000,14500,4.8,On-Time
SHP-2024-0185,Export,05/07/2024,Electronics,Mumbai,India,Tokyo,Japan,122000,6100,3.1,Delayed
SHP-2024-0186,Import,06/07/2024,Consumer Goods,Ho Chi Minh City,Vietnam,Mumbai,India,75000,3750,2.6,On-Time
SHP-2024-0187,Export,07/07/2024,Textiles,Mumbai,India,Dubai,UAE,95000,4750,2.1,On-Time
SHP-2024-0188,Import,08/07/2024,Electronics,Seoul,South Korea,Mumbai,India,215000,10750,4.4,On-Time
SHP-2024-0190,Import,10/07/2024,Textiles,Dhaka,Bangladesh,Mumbai,India,109000,5450,3.3,On-Time
SHP-2024-0191,Export,11/07/2024,Consumer Goods,Mumbai,India,Sydney,Australia,74000,3700,3.7,Delayed
SHP-2024-0192,Import,12/07/2024,Electronics,Taipei,Taiwan,Mumbai,India,245000,12250,4.6,On-Time
SHP-2024-0193,Export,13/07/2024,Industrial Equipment,Mumbai,India,Rotterdam,Netherlands,165000,8250,3.9,On-Time
SHP-2024-0194,Import,14/07/2024,Consumer Goods,Bangkok,Thailand,Mumbai,India,88000,4400,3,On-Time
SHP-2024-0195,Export,15/07/2024,Textiles,Mumbai,India,New York,USA,140000,7000,3.5,On-Time
SHP-2024-0196,Import,16/07/2024,Industrial Equipment,Genoa,Italy,Mumbai,India,225000,11250,5.1,On-Time
SHP-2024-0197,Export,17/07/2024,Electronics,Mumbai,India,Los Angeles,USA,185000,9250,3.6,Delayed
SHP-2024-0198,Import,18/07/2024,Textiles,Istanbul,Turkey,Mumbai,India,99000,4950,3.8,On-Time
SHP-2024-0199,Export,19/07/2024,Consumer Goods,Mumbai,India,Jeddah,Saudi Arabia,54000,2700,2.5,On-Time
SHP-2024-0200,Import,20/07/2024,Electronics,San Francisco,USA,Mumbai,India,255000,12750,4.7,On-Time
SHP-2024-0201,Export,21/07/2024,Industrial Equipment,Mumbai,India,Durban,South Africa,115000,5750,4.2,On-Time
SHP-2024-0202,Import,22/07/2024,Consumer Goods,Jakarta,Indonesia,Mumbai,India,63000,3150,3.2,On-Time
SHP-2024-0203,Export,23/07/2024,Textiles,Mumbai,India,Lagos,Nigeria,80000,4000,4,Delayed
SHP-2024-0204,Import,24/07/2024,Industrial Equipment,Yokohama,Japan,Mumbai,India,360000,18000,5.4,On-Time
SHP-2024-0205,Export,25/07/2024,Electronics,Mumbai,India,Mexico City,Mexico,142000,7100,4.5,On-Time
SHP-2024-0206,Import,26/07/2024,Consumer Goods,Manila,Philippines,Mumbai,India,55000,2750,3.4,On-Time
SHP-2024-0207,Export,27/07/2024,Textiles,Mumbai,India,Cairo,Egypt,65000,3250,2.9,On-Time
SHP-2024-0208,Import,28/07/2024,Electronics,Helsinki,Finland,Mumbai,India,190000,9500,4.3,On-Time
SHP-2024-0209,Export,29/07/2024,Consumer Goods,Mumbai,India,Rio de Janeiro,Brazil,85000,4250,4.9,Delayed
SHP-2024-0210,Import,30/07/2024,Industrial Equipment,Busan,South Korea,Mumbai,India,315000,15750,5.2,On-Time
SHP-2024-0211,Export,31/07/2024,Electronics,Mumbai,India,New York,USA,107000,5350,2.8,On-Time
SHP-2024-0212,Import,01/08/2024,Textiles,Shanghai,China,Mumbai,India,155000,7750,4.2,On-Time
SHP-2024-0213,Export,02/08/2024,Consumer Goods,Mumbai,India,London,UK,60000,3000,2.5,On-Time
SHP-2024-0214,Import,03/08/2024,Industrial Equipment,Hamburg,Germany,Mumbai,India,295000,14750,4.9,On-Time
SHP-2024-0215,Export,04/08/2024,Electronics,Mumbai,India,Tokyo,Japan,125000,6250,3.2,On-Time
SHP-2024-0216,Import,05/08/2024,Consumer Goods,Ho Chi Minh City,Vietnam,Mumbai,India,77000,3850,2.7,Delayed
SHP-2024-0217,Export,06/08/2024,Textiles,Mumbai,India,Dubai,UAE,98000,4900,2.2,On-Time
SHP-2024-0218,Import,07/08/2024,Electronics,Seoul,South Korea,Mumbai,India,220000,11000,4.5,On-Time
SHP-2024-0220,Import,09/08/2024,Textiles,Dhaka,Bangladesh,Mumbai,India,112000,5600,3.4,On-Time
SHP-2024-0221,Export,10/08/2024,Consumer Goods,Mumbai,India,Sydney,Australia,77000,3850,3.8,On-Time
SHP-2024-0222,Import,11/08/2024,Electronics,Taipei,Taiwan,Mumbai,India,250000,12500,4.7,Delayed
SHP-2024-0223,Export,12/08/2024,Industrial Equipment,Mumbai,India,Rotterdam,Netherlands,170000,8500,4,On-Time
SHP-2024-0224,Import,13/08/2024,Consumer Goods,Bangkok,Thailand,Mumbai,India,90000,4500,3.1,On-Time
SHP-2024-0225,Export,14/08/2024,Textiles,Mumbai,India,New York,USA,145000,7250,3.6,On-Time
SHP-2024-0226,Import,15/08/2024,Industrial Equipment,Genoa,Italy,Mumbai,India,230000,11500,5.2,On-Time
SHP-2024-0227,Export,16/08/2024,Electronics,Mumbai,India,Los Angeles,USA,190000,9500,3.7,On-Time
SHP-2024-0228,Import,17/08/2024,Textiles,Istanbul,Turkey,Mumbai,India,102000,5100,3.9,Delayed
SHP-2024-0229,Export,18/08/2024,Consumer Goods,Mumbai,India,Jeddah,Saudi Arabia,56000,2800,2.6,On-Time
SHP-2024-0230,Import,19/08/2024,Electronics,San Francisco,USA,Mumbai,India,260000,13000,4.8,On-Time
SHP-2024-0231,Export,20/08/2024,Industrial Equipment,Mumbai,India,Durban,South Africa,118000,5900,4.3,On-Time
SHP-2024-0232,Import,21/08/2024,Consumer Goods,Jakarta,Indonesia,Mumbai,India,65000,3250,3.3,On-Time
SHP-2024-0233,Export,22/08/2024,Textiles,Mumbai,India,Lagos,Nigeria,82000,4100,4.1,On-Time
SHP-2024-0234,Import,23/08/2024,Industrial Equipment,Yokohama,Japan,Mumbai,India,370000,18500,5.5,Delayed
SHP-2024-0235,Export,24/08/2024,Electronics,Mumbai,India,Mexico City,Mexico,145000,7250,4.6,On-Time
SHP-2024-0236,Import,25/08/2024,Consumer Goods,Manila,Philippines,Mumbai,India,57000,2850,3.5,On-Time
SHP-2024-0237,Export,26/08/2024,Textiles,Mumbai,India,Cairo,Egypt,67000,3350,3,On-Time
SHP-2024-0238,Import,27/08/2024,Electronics,Helsinki,Finland,Mumbai,India,195000,9750,4.4,On-Time
SHP-2024-0239,Export,28/08/2024,Consumer Goods,Mumbai,India,Rio de Janeiro,Brazil,87000,4350,5,On-Time
SHP-2024-0240,Import,29/08/2024,Industrial Equipment,Busan,South Korea,Mumbai,India,320000,16000,5.3,Delayed
