date,region,carrier,shipments_processed,delay_hours_avg,fuel_price_usd_per_barrel,warehouse_utilization_percent,damage_claims_count
15/06/2024,Asia-Pacific,OceanExpress,2040,3.9,85.3,90,11
15/06/2024,Europe,GlobalConnect,1180,2.1,83.6,77,4
15/06/2024,North America,FastShip,1430,3.1,82.2,87,7
15/06/2024,North America,ReliableLogistics,880,1.5,82.2,58,3
16/06/2024,Asia-Pacific,OceanExpress,2170,4.4,85.6,92,14
16/06/2024,Europe,GlobalConnect,1230,1.5,83.9,75,2
16/06/2024,North America,FastShip,1530,2.6,82.5,85,5
16/06/2024,North America,ReliableLogistics,910,1.1,82.5,60,1
17/06/2024,Asia-Pacific,OceanExpress,2270,4.7,85.9,93,16
17/06/2024,Europe,GlobalConnect,1270,1.4,84.2,74,3
17/06/2024,North America,FastShip,1470,2.9,82.8,86,6
17/06/2024,North America,ReliableLogistics,930,1.0,82.8,61,0
18/06/2024,Asia-Pacific,OceanExpress,2090,4.2,86.2,91,13
18/06/2024,Europe,GlobalConnect,1190,1.8,84.5,76,2
18/06/2024,North America,FastShip,1570,2.2,83.1,84,4
18/06/2024,North America,ReliableLogistics,890,1.3,83.1,59,2
19/06/2024,Asia-Pacific,OceanExpress,2340,4.9,86.5,94,18
19/06/2024,Europe,GlobalConnect,1310,1.6,84.8,73,1
19/06/2024,North America,FastShip,1610,2.0,83.4,83,3
19/06/2024,North America,ReliableLogistics,960,0.9,83.4,62,0
20/06/2024,Asia-Pacific,OceanExpress,2030,3.9,86.8,90,10
20/06/2024,Europe,GlobalConnect,1160,2.1,85.1,77,4
20/06/2024,North America,FastShip,1420,3.1,83.7,87,7
20/06/2024,North America,ReliableLogistics,870,1.5,83.7,58,3
21/06/2024,Asia-Pacific,OceanExpress,2180,4.4,87.1,92,14
21/06/2024,Europe,GlobalConnect,1240,1.5,85.4,75,2
21/06/2024,North America,FastShip,1540,2.6,84.0,85,5
21/06/2024,North America,ReliableLogistics,920,1.1,84.0,60,1
22/06/2024,Asia-Pacific,OceanExpress,2280,4.7,87.4,93,17
22/06/2024,Europe,GlobalConnect,1290,1.4,85.7,74,3
22/06/2024,North America,FastShip,1490,2.9,84.3,86,6
22/06/2024,North America,ReliableLogistics,940,1.0,84.3,61,0
23/06/2024,Asia-Pacific,OceanExpress,2100,4.1,87.7,91,12
23/06/2024,Europe,GlobalConnect,1200,1.7,86.0,76,2
23/06/2024,North America,FastShip,1590,2.2,84.6,84,4
23/06/2024,North America,ReliableLogistics,900,1.3,84.6,59,2
24/06/2024,Asia-Pacific,OceanExpress,2370,5.0,88.0,94,19
24/06/2024,Europe,GlobalConnect,1330,1.6,86.3,73,1
24/06/2024,North America,FastShip,1610,2.0,84.9,83,3
24/06/2024,North America,ReliableLogistics,970,0.9,84.9,62,0
25/06/2024,Asia-Pacific,OceanExpress,2040,3.9,88.3,90,10
25/06/2024,Europe,GlobalConnect,1180,2.1,86.6,77,4
25/06/2024,North America,FastShip,1430,3.1,85.2,87,7
25/06/2024,North America,ReliableLogistics,880,1.5,85.2,58,3
