supplier_id,shipments,high_risk_shipments,medium_risk_shipments,high_risk_rate,avg_risk_score,avg_risk_probability,avg_lead_time_days,std_lead_time_days,avg_port_delay_days,avg_quality_score,avg_reliability_index,avg_weather_disruption,risk_band
SUP_128,41,26,6,0.6341,1.4146,0.77,4.1763,1.5532,2.3165,83.6579,0.8737,4.6361,Elevated
SUP_104,48,30,11,0.625,1.4792,0.7811,4.4608,1.3631,2.5157,83.587,0.8461,4.3233,Elevated
SUP_110,45,28,6,0.6222,1.3778,0.766,4.4432,1.5494,2.485,84.3673,0.8491,4.5209,Elevated
SUP_137,37,23,2,0.6216,1.2973,0.7325,4.4158,1.3835,2.3856,82.5988,0.8538,4.5809,Elevated
SUP_150,44,27,12,0.6136,1.5,0.79,4.3554,1.3727,2.4111,83.6696,0.8485,4.9678,Elevated
SUP_117,44,27,6,0.6136,1.3636,0.7691,4.4835,1.536,2.5188,83.6576,0.8537,5.0094,Elevated
SUP_116,49,30,8,0.6122,1.3878,0.7608,4.5876,1.5187,2.2748,81.0736,0.8496,5.3288,Elevated
SUP_111,54,32,13,0.5926,1.4259,0.7829,4.4499,1.4741,2.4385,81.519,0.8378,4.7991,Elevated
SUP_141,49,29,10,0.5918,1.3878,0.7701,4.5973,1.4612,2.4544,83.4022,0.8617,4.8719,Elevated
SUP_107,51,30,10,0.5882,1.3725,0.7802,4.2745,1.5056,2.365,83.2707,0.8599,4.4816,Elevated
SUP_135,60,35,8,0.5833,1.3,0.7522,4.7917,1.6035,2.3925,83.4456,0.8445,5.837,Elevated
SUP_125,55,32,16,0.5818,1.4545,0.7982,4.4129,1.5496,2.409,83.423,0.8424,5.4659,Elevated
SUP_149,55,32,7,0.5818,1.2909,0.7359,4.7783,1.4455,2.3767,83.8006,0.8499,4.2278,Elevated
SUP_126,62,36,15,0.5806,1.4032,0.7642,4.4407,1.446,2.3873,81.9603,0.8489,4.4944,Elevated
SUP_133,40,23,7,0.575,1.325,0.7424,4.4833,1.6197,2.2669,83.6401,0.8577,4.3095,Elevated
SUP_115,47,27,11,0.5745,1.383,0.786,4.6819,1.3084,2.5517,82.019,0.8569,5.4265,Elevated
SUP_119,42,24,11,0.5714,1.4048,0.7625,4.3084,1.3026,2.3279,81.4695,0.8568,5.7395,Elevated
SUP_130,52,29,13,0.5577,1.3654,0.7642,4.3407,1.4141,2.3249,81.2246,0.8425,5.0443,Elevated
SUP_113,40,22,5,0.55,1.225,0.7311,4.6696,1.5005,2.059,79.9594,0.8382,5.7533,Elevated
SUP_120,57,31,11,0.5439,1.2807,0.7276,4.4382,1.4007,2.2763,82.6144,0.8586,4.9066,Elevated
SUP_143,47,25,12,0.5319,1.3191,0.7341,4.9211,1.5125,2.2842,84.3371,0.8684,5.2068,Elevated
SUP_131,44,23,12,0.5227,1.3182,0.7376,4.0682,1.3761,2.2335,81.942,0.855,4.4911,Elevated
SUP_108,31,16,8,0.5161,1.2903,0.7239,4.1504,1.5499,2.0317,82.9611,0.8779,5.1446,Elevated
SUP_144,53,27,7,0.5094,1.1509,0.7009,4.1696,1.387,2.1012,81.9304,0.8434,4.9173,Elevated
SUP_103,53,26,12,0.4906,1.2075,0.7221,4.3139,1.4141,2.0655,83.3018,0.872,4.8051,Elevated
