Order Id,risk_score,risk_tier,Shipping Mode,actual_late
67709,0.9969,High,First Class,1
49922,0.9969,High,First Class,1
49922,0.9969,High,First Class,1
22031,0.9969,High,First Class,1
22031,0.9969,High,First Class,1
25115,0.9969,High,First Class,1
26509,0.9969,High,First Class,1
22031,0.9969,High,First Class,1
52440,0.9969,High,First Class,1
69747,0.9969,High,First Class,1
43330,0.9969,High,First Class,1
34843,0.9969,High,First Class,1
49922,0.9969,High,First Class,1
53835,0.9969,High,First Class,1
52440,0.9969,High,First Class,1
54674,0.9968,High,First Class,1
28071,0.9968,High,First Class,1
45172,0.9968,High,First Class,1
3579,0.9968,High,First Class,1
42937,0.9968,High,First Class,1
19606,0.9968,High,First Class,1
64436,0.9968,High,First Class,1
64436,0.9968,High,First Class,1
33548,0.9968,High,First Class,1
19066,0.9968,High,First Class,1
33548,0.9968,High,First Class,1
19066,0.9968,High,First Class,1
33548,0.9968,High,First Class,1
23741,0.9968,High,First Class,1
23741,0.9968,High,First Class,1
19066,0.9968,High,First Class,1
28071,0.9968,High,First Class,1
53840,0.9968,High,First Class,1
53840,0.9968,High,First Class,1
50965,0.9968,High,First Class,1
53840,0.9968,High,First Class,1
53840,0.9968,High,First Class,1
28071,0.9968,High,First Class,1
23741,0.9968,High,First Class,1
14937,0.9968,High,First Class,1
14937,0.9968,High,First Class,1
64436,0.9968,High,First Class,1
28071,0.9968,High,First Class,1
19606,0.9968,High,First Class,1
28071,0.9968,High,First Class,1
67967,0.9967,High,First Class,1
28859,0.9967,High,First Class,1
14938,0.9967,High,First Class,1
16479,0.9967,High,First Class,1
17746,0.9967,High,First Class,1
681,0.9967,High,First Class,1
62013,0.9967,High,First Class,1
14938,0.9967,High,First Class,1
62013,0.9967,High,First Class,1
62013,0.9967,High,First Class,1
681,0.9967,High,First Class,1
16529,0.9967,High,First Class,1
65929,0.9967,High,First Class,1
45172,0.9967,High,First Class,1
65929,0.9967,High,First Class,1
16529,0.9967,High,First Class,1
14938,0.9967,High,First Class,1
16529,0.9967,High,First Class,1
50965,0.9967,High,First Class,1
28859,0.9967,High,First Class,1
30974,0.9967,High,First Class,1
54674,0.9967,High,First Class,1
45172,0.9967,High,First Class,1
67709,0.9967,High,First Class,1
65929,0.9967,High,First Class,1
16529,0.9967,High,First Class,1
30974,0.9967,High,First Class,1
53835,0.9967,High,First Class,1
12131,0.9967,High,First Class,1
45172,0.9967,High,First Class,1
45172,0.9967,High,First Class,1
67967,0.9967,High,First Class,1
17746,0.9967,High,First Class,1
17746,0.9967,High,First Class,1
17746,0.9967,High,First Class,1
8159,0.9967,High,First Class,1
53835,0.9967,High,First Class,1
28859,0.9967,High,First Class,1
19477,0.9967,High,First Class,1
75313,0.9967,High,First Class,1
681,0.9967,High,First Class,1
8159,0.9967,High,First Class,1
42973,0.9966,High,First Class,1
44612,0.9966,High,First Class,1
26366,0.9966,High,First Class,1
26366,0.9966,High,First Class,1
9501,0.9966,High,First Class,1
3579,0.9966,High,First Class,1
69095,0.9966,High,First Class,1
27531,0.9966,High,First Class,1
3579,0.9966,High,First Class,1
44612,0.9966,High,First Class,1
44612,0.9966,High,First Class,1
53296,0.9966,High,First Class,1
45940,0.9966,High,First Class,1
9501,0.9966,High,First Class,1
13626,0.9966,High,First Class,1
68408,0.9966,High,First Class,1
9501,0.9966,High,First Class,1
8962,0.9966,High,First Class,1
47213,0.9966,High,First Class,1
27531,0.9966,High,First Class,1
16479,0.9966,High,First Class,1
16479,0.9966,High,First Class,1
45298,0.9966,High,First Class,1
42045,0.9966,High,First Class,1
20519,0.9966,High,First Class,1
26509,0.9966,High,First Class,1
42045,0.9966,High,First Class,1
21367,0.9966,High,First Class,1
69916,0.9966,High,First Class,1
45940,0.9966,High,First Class,1
42973,0.9966,High,First Class,1
16479,0.9966,High,First Class,1
34522,0.9966,High,First Class,1
53835,0.9966,High,First Class,1
45940,0.9966,High,First Class,1
9498,0.9966,High,First Class,1
26509,0.9966,High,First Class,1
3579,0.9966,High,First Class,1
45940,0.9966,High,First Class,1
45940,0.9966,High,First Class,1
61725,0.9966,High,First Class,1
47213,0.9966,High,First Class,1
50965,0.9966,High,First Class,1
33428,0.9966,High,First Class,1
53296,0.9966,High,First Class,1
33428,0.9966,High,First Class,1
27531,0.9966,High,First Class,1
28066,0.9966,High,First Class,1
17918,0.9966,High,First Class,1
43330,0.9966,High,First Class,1
16479,0.9966,High,First Class,1
33428,0.9966,High,First Class,1
27937,0.9966,High,First Class,1
3579,0.9966,High,First Class,1
9501,0.9966,High,First Class,1
6639,0.9965,High,First Class,1
56363,0.9965,High,First Class,1
68297,0.9965,High,First Class,1
51277,0.9965,High,First Class,1
37114,0.9965,High,First Class,1
36702,0.9965,High,First Class,1
51277,0.9965,High,First Class,1
68297,0.9965,High,First Class,1
22424,0.9965,High,First Class,1
37114,0.9965,High,First Class,1
63078,0.9965,High,First Class,1
63881,0.9965,High,First Class,1
68408,0.9965,High,First Class,1
51277,0.9965,High,First Class,1
42656,0.9965,High,First Class,1
25122,0.9965,High,First Class,1
36626,0.9965,High,First Class,1
42656,0.9965,High,First Class,1
63078,0.9965,High,First Class,1
4066,0.9965,High,First Class,1
19399,0.9965,High,First Class,1
34430,0.9965,High,First Class,1
56817,0.9965,High,First Class,1
4066,0.9965,High,First Class,1
37114,0.9965,High,First Class,1
15386,0.9965,High,First Class,1
36626,0.9965,High,First Class,1
68389,0.9965,High,First Class,1
36626,0.9965,High,First Class,1
68389,0.9965,High,First Class,1
6639,0.9965,High,First Class,1
50526,0.9965,High,First Class,1
681,0.9965,High,First Class,1
50986,0.9965,High,First Class,1
15521,0.9965,High,First Class,1
15521,0.9965,High,First Class,1
63881,0.9965,High,First Class,1
74568,0.9965,High,First Class,1
25346,0.9965,High,First Class,1
36702,0.9965,High,First Class,1
36626,0.9965,High,First Class,1
43477,0.9965,High,First Class,1
68297,0.9965,High,First Class,1
15386,0.9965,High,First Class,1
15386,0.9965,High,First Class,1
15521,0.9965,High,First Class,1
56363,0.9965,High,First Class,1
42656,0.9965,High,First Class,1
75946,0.9965,High,First Class,1
4066,0.9965,High,First Class,1
15386,0.9965,High,First Class,1
73831,0.9965,High,First Class,1
4066,0.9965,High,First Class,1
50986,0.9965,High,First Class,1
56363,0.9965,High,First Class,1
63078,0.9965,High,First Class,1
63078,0.9965,High,First Class,1
50986,0.9965,High,First Class,1
43477,0.9965,High,First Class,1
50526,0.9965,High,First Class,1
46914,0.9965,High,First Class,1
36702,0.9965,High,First Class,1
15386,0.9965,High,First Class,1
51277,0.9965,High,First Class,1
50986,0.9965,High,First Class,1
68408,0.9965,High,First Class,1
68408,0.9965,High,First Class,1
19399,0.9965,High,First Class,1
36626,0.9965,High,First Class,1
75666,0.9965,High,First Class,1
68297,0.9965,High,First Class,1
27937,0.9965,High,First Class,1
12521,0.9965,High,First Class,1
63078,0.9965,High,First Class,1
50986,0.9965,High,First Class,1
68389,0.9965,High,First Class,1
43477,0.9965,High,First Class,1
27937,0.9965,High,First Class,1
53257,0.9964,High,First Class,1
15727,0.9964,High,First Class,1
23218,0.9964,High,First Class,1
36426,0.9964,High,First Class,1
17943,0.9964,High,First Class,1
4213,0.9964,High,First Class,1
25346,0.9964,High,First Class,1
32662,0.9964,High,First Class,1
28284,0.9964,High,First Class,1
38420,0.9964,High,First Class,1
77034,0.9964,High,First Class,1
23762,0.9964,High,First Class,1
23218,0.9964,High,First Class,1
18081,0.9964,High,First Class,1
18081,0.9964,High,First Class,1
15727,0.9964,High,First Class,1
10812,0.9964,High,First Class,1
53257,0.9964,High,First Class,1
74585,0.9964,High,First Class,1
14797,0.9964,High,First Class,1
38420,0.9964,High,First Class,1
21983,0.9964,High,First Class,1
29974,0.9964,High,First Class,1
28284,0.9964,High,First Class,1
44308,0.9964,High,First Class,1
21422,0.9964,High,First Class,1
21422,0.9964,High,First Class,1
12783,0.9964,High,First Class,1
44518,0.9964,High,First Class,1
44518,0.9964,High,First Class,1
12783,0.9964,High,First Class,1
33910,0.9964,High,First Class,1
21422,0.9964,High,First Class,1
44518,0.9964,High,First Class,1
681,0.9964,High,First Class,1
25269,0.9964,High,First Class,1
49596,0.9964,High,First Class,1
38194,0.9964,High,First Class,1
25269,0.9964,High,First Class,1
66915,0.9964,High,First Class,1
12783,0.9964,High,First Class,1
27167,0.9964,High,First Class,1
28067,0.9964,High,First Class,1
49828,0.9964,High,First Class,1
58889,0.9964,High,First Class,1
9501,0.9964,High,First Class,1
34300,0.9964,High,First Class,1
15962,0.9964,High,First Class,1
25269,0.9964,High,First Class,1
17943,0.9964,High,First Class,1
22921,0.9964,High,First Class,1
66756,0.9964,High,First Class,1
42940,0.9964,High,First Class,1
75980,0.9964,High,First Class,1
15189,0.9964,High,First Class,1
91,0.9964,High,First Class,1
61622,0.9964,High,First Class,1
19248,0.9964,High,First Class,1
61622,0.9964,High,First Class,1
39458,0.9964,High,First Class,1
39459,0.9964,High,First Class,1
38059,0.9964,High,First Class,1
24921,0.9964,High,First Class,1
76506,0.9964,High,First Class,1
13262,0.9964,High,First Class,1
32390,0.9964,High,First Class,1
28077,0.9964,High,First Class,1
14931,0.9964,High,First Class,1
76510,0.9964,High,First Class,1
66756,0.9964,High,First Class,1
66756,0.9964,High,First Class,1
73828,0.9964,High,First Class,1
45944,0.9964,High,First Class,1
62806,0.9964,High,First Class,1
38905,0.9964,High,First Class,1
45944,0.9964,High,First Class,1
33910,0.9964,High,First Class,1
27163,0.9964,High,First Class,1
33212,0.9964,High,First Class,1
38194,0.9964,High,First Class,1
25735,0.9964,High,First Class,1
25735,0.9964,High,First Class,1
18741,0.9964,High,First Class,1
62202,0.9964,High,First Class,1
68266,0.9964,High,First Class,1
25868,0.9964,High,First Class,1
25868,0.9964,High,First Class,1
23413,0.9964,High,First Class,1
49596,0.9964,High,First Class,1
27167,0.9964,High,First Class,1
45460,0.9964,High,First Class,1
6092,0.9964,High,First Class,1
33909,0.9964,High,First Class,1
37057,0.9964,High,First Class,1
53257,0.9964,High,First Class,1
18419,0.9964,High,First Class,1
7653,0.9964,High,First Class,1
36621,0.9964,High,First Class,1
21983,0.9964,High,First Class,1
18419,0.9964,High,First Class,1
66756,0.9964,High,First Class,1
26566,0.9964,High,First Class,1
59446,0.9964,High,First Class,1
25735,0.9964,High,First Class,1
65537,0.9964,High,First Class,1
70186,0.9964,High,First Class,1
71169,0.9964,High,First Class,1
13262,0.9964,High,First Class,1
20545,0.9964,High,First Class,1
27163,0.9964,High,First Class,1
18539,0.9964,High,First Class,1
48064,0.9964,High,First Class,1
49475,0.9964,High,First Class,1
27163,0.9964,High,First Class,1
33212,0.9964,High,First Class,1
27163,0.9964,High,First Class,1
18419,0.9964,High,First Class,1
48067,0.9964,High,First Class,1
25122,0.9964,High,First Class,1
68266,0.9964,High,First Class,1
20545,0.9964,High,First Class,1
34300,0.9964,High,First Class,1
51306,0.9964,High,First Class,1
53257,0.9964,High,First Class,1
27167,0.9964,High,First Class,1
21232,0.9964,High,First Class,1
21422,0.9964,High,First Class,1
27163,0.9964,High,First Class,1
65537,0.9964,High,First Class,1
64406,0.9964,High,First Class,1
65537,0.9964,High,First Class,1
12780,0.9964,High,First Class,1
15189,0.9964,High,First Class,1
15189,0.9964,High,First Class,1
70490,0.9964,High,First Class,1
15189,0.9964,High,First Class,1
12780,0.9964,High,First Class,1
12780,0.9964,High,First Class,1
10662,0.9964,High,First Class,1
48067,0.9964,High,First Class,1
22458,0.9964,High,First Class,1
28896,0.9964,High,First Class,1
47883,0.9964,High,First Class,1
45460,0.9964,High,First Class,1
36621,0.9964,High,First Class,1
36426,0.9964,High,First Class,1
38194,0.9964,High,First Class,1
13262,0.9964,High,First Class,1
67662,0.9964,High,First Class,1
49099,0.9964,High,First Class,1
49099,0.9964,High,First Class,1
25735,0.9964,High,First Class,1
62202,0.9964,High,First Class,1
35470,0.9964,High,First Class,1
12780,0.9964,High,First Class,1
32388,0.9964,High,First Class,1
38495,0.9964,High,First Class,1
42447,0.9964,High,First Class,1
18539,0.9964,High,First Class,1
34300,0.9964,High,First Class,1
45481,0.9964,High,First Class,1
32388,0.9964,High,First Class,1
73063,0.9964,High,First Class,1
72131,0.9964,High,First Class,1
21232,0.9964,High,First Class,1
38494,0.9964,High,First Class,1
37391,0.9964,High,First Class,1
32662,0.9964,High,First Class,1
16977,0.9964,High,First Class,1
69366,0.9964,High,First Class,1
12780,0.9964,High,First Class,1
30205,0.9964,High,First Class,1
32662,0.9964,High,First Class,1
18081,0.9964,High,First Class,1
14797,0.9964,High,First Class,1
18081,0.9964,High,First Class,1
32264,0.9964,High,First Class,1
34300,0.9964,High,First Class,1
44308,0.9964,High,First Class,1
43749,0.9964,High,First Class,1
66915,0.9964,High,First Class,1
14218,0.9964,High,First Class,1
18539,0.9964,High,First Class,1
43749,0.9964,High,First Class,1
37391,0.9964,High,First Class,1
43749,0.9964,High,First Class,1
68909,0.9964,High,First Class,1
15521,0.9964,High,First Class,1
44518,0.9964,High,First Class,1
49475,0.9964,High,First Class,1
4213,0.9964,High,First Class,1
43146,0.9964,High,First Class,1
11502,0.9964,High,First Class,1
11502,0.9964,High,First Class,1
64782,0.9964,High,First Class,1
62202,0.9964,High,First Class,1
25735,0.9964,High,First Class,1
59446,0.9964,High,First Class,1
64406,0.9964,High,First Class,1
65537,0.9964,High,First Class,1
25122,0.9964,High,First Class,1
72948,0.9964,High,First Class,1
36621,0.9964,High,First Class,1
46783,0.9964,High,First Class,1
64406,0.9964,High,First Class,1
58889,0.9964,High,First Class,1
33212,0.9964,High,First Class,1
13262,0.9964,High,First Class,1
16843,0.9964,High,First Class,1
47928,0.9964,High,First Class,1
64406,0.9964,High,First Class,1
65537,0.9964,High,First Class,1
3745,0.9964,High,First Class,1
10662,0.9964,High,First Class,1
33909,0.9964,High,First Class,1
45969,0.9964,High,First Class,1
47241,0.9964,High,First Class,1
42378,0.9964,High,First Class,1
11066,0.9964,High,First Class,1
11066,0.9964,High,First Class,1
11066,0.9964,High,First Class,1
39458,0.9964,High,First Class,1
39458,0.9964,High,First Class,1
72795,0.9964,High,First Class,1
28284,0.9964,High,First Class,1
72943,0.9964,High,First Class,1
30743,0.9964,High,First Class,1
25122,0.9964,High,First Class,1
25122,0.9964,High,First Class,1
18539,0.9964,High,First Class,1
18081,0.9964,High,First Class,1
34300,0.9964,High,First Class,1
14648,0.9964,High,First Class,1
91,0.9964,High,First Class,1
72337,0.9964,High,First Class,1
45944,0.9964,High,First Class,1
62806,0.9964,High,First Class,1
64782,0.9964,High,First Class,1
26366,0.9964,High,First Class,1
49475,0.9964,High,First Class,1
49475,0.9964,High,First Class,1
64406,0.9964,High,First Class,1
49475,0.9964,High,First Class,1
38420,0.9964,High,First Class,1
38619,0.9963,High,First Class,1
6639,0.9963,High,First Class,1
10812,0.9963,High,First Class,1
10812,0.9963,High,First Class,1
72925,0.9963,High,First Class,1
1409,0.9963,High,First Class,1
48278,0.9963,High,First Class,1
21983,0.9963,High,First Class,1
36621,0.9963,High,First Class,1
5053,0.9963,High,First Class,1
58272,0.9963,High,First Class,1
69593,0.9963,High,First Class,1
17711,0.9963,High,First Class,1
70670,0.9963,High,First Class,1
13748,0.9963,High,First Class,1
16565,0.9963,High,First Class,1
14646,0.9963,High,First Class,1
14646,0.9963,High,First Class,1
13267,0.9963,High,First Class,1
27308,0.9963,High,First Class,1
54085,0.9963,High,First Class,1
39938,0.9963,High,First Class,1
53091,0.9963,High,First Class,1
16978,0.9963,High,First Class,1
22796,0.9963,High,First Class,1
76497,0.9963,High,First Class,1
17918,0.9963,High,First Class,1
16633,0.9963,High,First Class,1
69039,0.9963,High,First Class,1
11894,0.9963,High,First Class,1
35598,0.9963,High,First Class,1
30540,0.9963,High,First Class,1
74760,0.9963,High,First Class,1
51963,0.9963,High,First Class,1
60955,0.9963,High,First Class,1
57309,0.9963,High,First Class,1
16843,0.9963,High,First Class,1
12313,0.9963,High,First Class,1
2986,0.9963,High,First Class,1
11894,0.9963,High,First Class,1
37057,0.9963,High,First Class,1
48082,0.9963,High,First Class,1
17711,0.9963,High,First Class,1
16843,0.9963,High,First Class,1
57380,0.9963,High,First Class,1
6849,0.9963,High,First Class,1
25118,0.9963,High,First Class,1
38406,0.9963,High,First Class,1
67662,0.9963,High,First Class,1
44308,0.9963,High,First Class,1
59449,0.9963,High,First Class,1
5053,0.9963,High,First Class,1
6836,0.9963,High,First Class,1
318,0.9963,High,First Class,1
3330,0.9963,High,First Class,1
60140,0.9963,High,First Class,1
956,0.9963,High,First Class,1
15962,0.9963,High,First Class,1
54512,0.9963,High,First Class,1
29787,0.9963,High,First Class,1
27507,0.9963,High,First Class,1
43145,0.9963,High,First Class,1
23218,0.9963,High,First Class,1
30810,0.9963,High,First Class,1
35598,0.9963,High,First Class,1
43554,0.9963,High,First Class,1
58539,0.9963,High,First Class,1
4425,0.9963,High,First Class,1
32390,0.9963,High,First Class,1
74577,0.9963,High,First Class,1
21983,0.9963,High,First Class,1
11226,0.9963,High,First Class,1
14367,0.9963,High,First Class,1
29240,0.9963,High,First Class,1
1409,0.9963,High,First Class,1
41,0.9963,High,First Class,1
16977,0.9963,High,First Class,1
67662,0.9963,High,First Class,1
14648,0.9963,High,First Class,1
65536,0.9963,High,First Class,1
65536,0.9963,High,First Class,1
35445,0.9963,High,First Class,1
36004,0.9963,High,First Class,1
33414,0.9963,High,First Class,1
19249,0.9963,High,First Class,1
47241,0.9963,High,First Class,1
12992,0.9963,High,First Class,1
13205,0.9963,High,First Class,1
70606,0.9963,High,First Class,1
68752,0.9963,High,First Class,1
14648,0.9963,High,First Class,1
45481,0.9963,High,First Class,1
32388,0.9963,High,First Class,1
31417,0.9963,High,First Class,1
23218,0.9963,High,First Class,1
15594,0.9963,High,First Class,1
65208,0.9963,High,First Class,1
47883,0.9963,High,First Class,1
76901,0.9963,High,First Class,1
13205,0.9963,High,First Class,1
58272,0.9963,High,First Class,1
72945,0.9963,High,First Class,1
38828,0.9963,High,First Class,1
43145,0.9963,High,First Class,1
58539,0.9963,High,First Class,1
6836,0.9963,High,First Class,1
23218,0.9963,High,First Class,1
32390,0.9963,High,First Class,1
6849,0.9963,High,First Class,1
6026,0.9963,High,First Class,1
42940,0.9963,High,First Class,1
4636,0.9963,High,First Class,1
47241,0.9963,High,First Class,1
26629,0.9963,High,First Class,1
26629,0.9963,High,First Class,1
53419,0.9963,High,First Class,1
62930,0.9963,High,First Class,1
11893,0.9963,High,First Class,1
54512,0.9963,High,First Class,1
61622,0.9963,High,First Class,1
18741,0.9963,High,First Class,1
47241,0.9963,High,First Class,1
28077,0.9963,High,First Class,1
6849,0.9963,High,First Class,1
3448,0.9963,High,First Class,1
37799,0.9963,High,First Class,1
46511,0.9963,High,First Class,1
60955,0.9963,High,First Class,1
5734,0.9963,High,First Class,1
59781,0.9963,High,First Class,1
60140,0.9963,High,First Class,1
59781,0.9963,High,First Class,1
39784,0.9963,High,First Class,1
22397,0.9963,High,First Class,1
73627,0.9963,High,First Class,1
65536,0.9963,High,First Class,1
33826,0.9963,High,First Class,1
39381,0.9963,High,First Class,1
29240,0.9963,High,First Class,1
12309,0.9963,High,First Class,1
31772,0.9963,High,First Class,1
29388,0.9963,High,First Class,1
28067,0.9963,High,First Class,1
21098,0.9963,High,First Class,1
3330,0.9963,High,First Class,1
5053,0.9963,High,First Class,1
43749,0.9963,High,First Class,1
17459,0.9963,High,First Class,1
60260,0.9963,High,First Class,1
956,0.9963,High,First Class,1
4425,0.9963,High,First Class,1
31417,0.9963,High,First Class,1
30740,0.9963,High,First Class,1
30962,0.9963,High,First Class,1
19248,0.9963,High,First Class,1
75255,0.9963,High,First Class,1
54085,0.9963,High,First Class,1
38476,0.9963,High,First Class,1
1300,0.9963,High,First Class,1
22037,0.9963,High,First Class,1
4425,0.9963,High,First Class,1
28077,0.9963,High,First Class,1
27940,0.9963,High,First Class,1
50060,0.9963,High,First Class,1
53419,0.9963,High,First Class,1
8420,0.9963,High,First Class,1
51963,0.9963,High,First Class,1
38828,0.9963,High,First Class,1
43145,0.9963,High,First Class,1
30736,0.9963,High,First Class,1
61640,0.9963,High,First Class,1
61924,0.9963,High,First Class,1
15594,0.9963,High,First Class,1
16841,0.9963,High,First Class,1
18741,0.9963,High,First Class,1
61622,0.9963,High,First Class,1
66056,0.9963,High,First Class,1
44225,0.9963,High,First Class,1
44225,0.9963,High,First Class,1
19248,0.9963,High,First Class,1
75339,0.9963,High,First Class,1
25937,0.9963,High,First Class,1
17943,0.9963,High,First Class,1
35799,0.9963,High,First Class,1
67461,0.9963,High,First Class,1
61640,0.9963,High,First Class,1
15962,0.9963,High,First Class,1
52374,0.9963,High,First Class,1
45549,0.9963,High,First Class,1
60955,0.9963,High,First Class,1
61622,0.9963,High,First Class,1
11067,0.9963,High,First Class,1
14370,0.9963,High,First Class,1
61924,0.9963,High,First Class,1
13205,0.9963,High,First Class,1
61640,0.9963,High,First Class,1
59436,0.9963,High,First Class,1
59436,0.9963,High,First Class,1
56817,0.9963,High,First Class,1
58690,0.9963,High,First Class,1
59449,0.9963,High,First Class,1
43146,0.9963,High,First Class,1
46099,0.9963,High,First Class,1
44515,0.9963,High,First Class,1
17459,0.9963,High,First Class,1
32388,0.9963,High,First Class,1
69426,0.9963,High,First Class,1
61788,0.9963,High,First Class,1
39452,0.9963,High,First Class,1
26629,0.9963,High,First Class,1
44910,0.9963,High,First Class,1
32388,0.9963,High,First Class,1
27507,0.9963,High,First Class,1
41,0.9963,High,First Class,1
53401,0.9963,High,First Class,1
6026,0.9963,High,First Class,1
30676,0.9963,High,First Class,1
22514,0.9963,High,First Class,1
59436,0.9963,High,First Class,1
17459,0.9963,High,First Class,1
59781,0.9963,High,First Class,1
76170,0.9963,High,First Class,1
23413,0.9963,High,First Class,1
22037,0.9963,High,First Class,1
20749,0.9963,High,First Class,1
47883,0.9963,High,First Class,1
43427,0.9963,High,First Class,1
1409,0.9963,High,First Class,1
14931,0.9963,High,First Class,1
65536,0.9963,High,First Class,1
66056,0.9963,High,First Class,1
73024,0.9963,High,First Class,1
531,0.9963,High,First Class,1
6093,0.9963,High,First Class,1
5734,0.9963,High,First Class,1
51560,0.9963,High,First Class,1
